ranking,player,team,fantPosition,games, fantFantPts , fantPPRpts , fantDKpts , fantFDpts , FFperGame , PPperGame , DKperGame , FDperGame 
342,Mitchell Wilcox,CIN,TE,16, 20.0 , 36.9 , 39.9 , 28.4 , 1.3 , 2.3 , 2.5 , 1.8 
343,David Blough,ARI,QB,2, 19.0 , 18.6 , 24.6 , 20.6 , 9.5 , 9.3 , 12.3 , 10.3 
344,Tevin Coleman,SFO,RB,5, 19.0 , 22.0 , 22.0 , 20.5 , 3.8 , 4.4 , 4.4 , 4.1 
345,KJ Hamler,DEN,WR,7, 19.0 , 25.8 , 28.8 , 22.3 , 2.7 , 3.7 , 4.1 , 3.2 
346,Scott Miller,TAM,WR,15, 19.0 , 42.3 , 45.3 , 30.8 , 1.3 , 2.8 , 3.0 , 2.1 
347,Denzel Mims,NYJ,WR,10, 19.0 , 29.6 , 32.6 , 24.1 , 1.9 , 3.0 , 3.3 , 2.4 
348,Donald Parham,LAC,TE,6, 19.0 , 29.0 , 32.0 , 24.0 , 3.2 , 4.8 , 5.3 , 4.0 
349,Jalen Reagor,MIN,WR,17, 19.0 , 26.9 , 29.9 , 22.9 , 1.1 , 1.6 , 1.8 , 1.3 
350,Jonathan Williams,WAS,RB,13, 19.0 , 26.2 , 29.2 , 22.7 , 1.5 , 2.0 , 2.2 , 1.7 
351,Malik Willis,TEN,QB,8, 19.0 , 19.3 , 27.3 , 22.3 , 2.4 , 2.4 , 3.4 , 2.8 
352,Brandon Bolden,LVR,RB,16, 18.0 , 27.3 , 27.3 , 22.8 , 1.1 , 1.7 , 1.7 , 1.4 
353,Malcolm Brown,LAR,RB,11, 18.0 , 22.8 , 22.8 , 20.3 , 1.6 , 2.1 , 2.1 , 1.8 
354,Lawrence Cager,2TM,TE,7, 18.0 , 30.8 , 33.8 , 24.3 , 2.6 , 4.4 , 4.8 , 3.5 
