Symbol,Date,Open,High,Low,Last,Close
TATAMOTORS,7/3/2020,102.85,106.35,102.1,103.4,103.45
TATAMOTORS,7/6/2020,105,109.9,104.5,109,109
TATAMOTORS,7/7/2020,109.8,112.6,108.05,108.95,109.05
TATAMOTORS,7/8/2020,109.5,110.85,104.2,105.6,105.35
TATAMOTORS,7/9/2020,106.3,108.95,104.65,107.4,106.95
TATAMOTORS,7/10/2020,106.7,108.6,105.4,107.25,107.6
TATAMOTORS,7/13/2020,108.85,112.1,106.85,108.3,108
TATAMOTORS,7/14/2020,106.9,107.55,104.1,105.2,105.15
TATAMOTORS,7/15/2020,106.8,106.8,102.5,103.45,103.2
TATAMOTORS,7/16/2020,103.95,103.95,100.6,102.95,102.95
TATAMOTORS,7/17/2020,103.65,106.95,103.3,106.35,106.4
TATAMOTORS,7/20/2020,106.35,106.35,103.85,104.95,105.05
TATAMOTORS,7/21/2020,106,109.7,105.5,108.15,108.45
TATAMOTORS,7/22/2020,108.5,109.75,104.25,105.45,105.15
TATAMOTORS,7/23/2020,105.45,106.45,104.7,106,106.05
TATAMOTORS,7/24/2020,104.7,105.5,102.7,103.65,103.75
TATAMOTORS,7/27/2020,104,104.5,101.3,101.9,101.7
TATAMOTORS,7/28/2020,102.3,107.2,102,106.2,106.45
TATAMOTORS,7/29/2020,108.1,108.75,104.85,105.7,105.75
TATAMOTORS,7/30/2020,106.4,106.75,102.85,103.25,103.65
TATAMOTORS,7/31/2020,104,105.4,102.3,105.05,104.65
TATAMOTORS,8/3/2020,103,114.4,102.9,111.7,113.05
TATAMOTORS,8/4/2020,112.95,115.1,110.8,111.15,111.45
TATAMOTORS,8/5/2020,112.4,117.65,112,115.55,115.4
TATAMOTORS,8/6/2020,116.2,117.7,115.5,117.15,116.8
TATAMOTORS,8/7/2020,117,119.7,116,118.9,119.1
TATAMOTORS,8/10/2020,119.95,124.7,119.7,123.35,123.85
TATAMOTORS,8/11/2020,125,125.8,121.4,122.55,122.3
TATAMOTORS,8/12/2020,121,126.4,120.6,125,125.35
TATAMOTORS,8/13/2020,126.1,131.9,124.4,131.1,131.15
TATAMOTORS,8/14/2020,131.15,132.65,123.7,124.85,124.6
TATAMOTORS,8/17/2020,124.5,126.25,120.6,123.7,123.55
TATAMOTORS,8/18/2020,124,127.5,123.6,125.55,125.6
TATAMOTORS,8/19/2020,127,127.6,124.75,125.3,125.15
TATAMOTORS,8/20/2020,123.45,125.65,121.1,121.85,121.7
TATAMOTORS,8/21/2020,124.2,124.2,120.15,121.25,120.9
TATAMOTORS,8/24/2020,122,123,120.8,121.1,121.2
TATAMOTORS,8/25/2020,121.8,128.35,121.1,127.65,127.1
TATAMOTORS,8/26/2020,130.5,139,128.35,138.4,137.9
TATAMOTORS,8/27/2020,140.1,146.85,139.3,143.6,144.25
TATAMOTORS,8/28/2020,144.15,146.2,140.5,142.75,142.8
TATAMOTORS,8/31/2020,144.5,147.95,138.2,142.1,143.2
TATAMOTORS,9/1/2020,143.4,145.15,140.4,144,143.8
TATAMOTORS,9/2/2020,144.3,151.65,141.45,151.5,150.3
TATAMOTORS,9/3/2020,151.6,155.2,149.55,151.45,151.85
TATAMOTORS,9/4/2020,147.9,153.65,147,147.6,147.8
TATAMOTORS,9/7/2020,150,152,148,149,149.4
TATAMOTORS,9/8/2020,149.45,149.6,141.2,142.35,142.3
TATAMOTORS,9/9/2020,141,141.75,135.7,140.65,140.1
TATAMOTORS,9/10/2020,142.8,144.5,138,143.1,143.3
TATAMOTORS,9/11/2020,143.1,146.8,141.65,143.65,144.3
TATAMOTORS,9/14/2020,147.2,151.1,145.5,147.15,148.55
TATAMOTORS,9/15/2020,149.4,149.4,146.55,148.9,148.4
TATAMOTORS,9/16/2020,149.2,154.3,148.55,151,151.45
TATAMOTORS,9/17/2020,150.8,151,146.2,147.75,147.65
TATAMOTORS,9/18/2020,148.7,150.5,146.25,147.75,147.9
TATAMOTORS,9/21/2020,147.75,147.75,135.5,136.3,137.45
TATAMOTORS,9/22/2020,138,138.15,129.65,133.85,133.1
TATAMOTORS,9/23/2020,135.5,136.7,127.9,131.4,131.4
TATAMOTORS,9/24/2020,127.9,128.8,122.15,122.75,122.8
TATAMOTORS,9/25/2020,123.7,128.35,123.1,127,127.25
TATAMOTORS,9/28/2020,128.9,134.3,127.5,133.1,132.85
TATAMOTORS,9/29/2020,134.95,136,130.7,131.95,131.7
TATAMOTORS,9/30/2020,131.55,134.4,130.3,133.4,133.3
TATAMOTORS,10/1/2020,135.9,136.5,132.55,133.85,133.5
TATAMOTORS,10/5/2020,136.95,137.5,132.05,134.2,133.9
TATAMOTORS,10/6/2020,138,145.8,136,144.45,144.75
TATAMOTORS,10/7/2020,144.25,144.5,139.8,141.15,141
TATAMOTORS,10/8/2020,142.85,143.5,139.6,141.15,140.95
TATAMOTORS,10/9/2020,141.15,142.65,138,138.6,138.45
TATAMOTORS,10/12/2020,139.65,139.65,133,135.9,135.9
TATAMOTORS,10/13/2020,135.4,137.1,132.85,133.95,134.1
TATAMOTORS,10/14/2020,133.75,134.65,128.8,130.5,130.7
TATAMOTORS,10/15/2020,131.5,134.35,126.5,126.55,126.95
TATAMOTORS,10/16/2020,129.4,130.05,126,127.8,127.75
TATAMOTORS,10/19/2020,129.8,130.4,127.8,128.25,128.25
TATAMOTORS,10/20/2020,128.1,130.3,126.35,129.35,129.65
TATAMOTORS,10/21/2020,131.05,133.1,128.3,130.6,130.25
TATAMOTORS,10/22/2020,129.7,134.6,128.45,134.25,133.5
TATAMOTORS,10/23/2020,134.9,138.9,134.1,136.65,137
TATAMOTORS,10/26/2020,138.4,140.8,131.25,133.65,133.7
TATAMOTORS,10/27/2020,134.15,136.75,130.85,136.65,135.65
TATAMOTORS,10/28/2020,139,143.25,133.5,134.75,134.8
TATAMOTORS,10/29/2020,132,133,130,132,131.9
TATAMOTORS,10/30/2020,133.2,134.5,130.3,133.2,132.65
TATAMOTORS,11/2/2020,133.65,134,131.1,132.7,132.85
TATAMOTORS,11/3/2020,135,137.4,133.55,133.9,134.1
TATAMOTORS,11/4/2020,135.6,137,134,135.65,135.9
TATAMOTORS,11/5/2020,137,138,136,137.65,137.65
TATAMOTORS,11/6/2020,137.65,142.3,137.65,138.7,139
TATAMOTORS,11/9/2020,140.6,141.5,138.7,141.05,141
TATAMOTORS,11/10/2020,144.05,146.7,142.75,145.9,146
TATAMOTORS,11/11/2020,146.5,151.5,145.65,151.1,150.95
TATAMOTORS,11/12/2020,150.95,153.85,150,151.15,151.2
TATAMOTORS,11/13/2020,150,150,145.35,146.2,146.35
TATAMOTORS,11/14/2020,148.7,150.8,148,148.45,148.85
TATAMOTORS,11/17/2020,152.5,159.35,152.2,158,158
TATAMOTORS,11/18/2020,158.85,178.8,158.55,173,173.5
TATAMOTORS,11/19/2020,171.4,176.35,166.55,166.95,167.95
TATAMOTORS,11/20/2020,170.05,171.55,165.55,168.3,169.1
TATAMOTORS,11/23/2020,169.5,173.9,165.55,170.45,170.7
TATAMOTORS,11/24/2020,171.85,175.5,171.1,172,172.05
TATAMOTORS,11/25/2020,175,176.8,169.25,170.95,171.45
TATAMOTORS,11/26/2020,171.6,175,171.05,174.65,173.75
TATAMOTORS,11/27/2020,174.65,183.85,174.65,178.65,180.35
TATAMOTORS,12/1/2020,182.35,182.4,178.1,179.85,179.75
TATAMOTORS,12/2/2020,184,187.35,181.1,183.3,183.6
TATAMOTORS,12/3/2020,185,186,183.25,185,184.85
TATAMOTORS,12/4/2020,186.5,188.8,182.2,184.25,184.15
TATAMOTORS,12/7/2020,184.45,186.45,182.7,183.9,183.55
TATAMOTORS,12/8/2020,184.95,185.7,178.95,181.75,181.8
TATAMOTORS,12/9/2020,183,186.4,181.65,182.85,182.7
TATAMOTORS,12/10/2020,182.7,182.7,176.4,177.95,177.6
TATAMOTORS,12/11/2020,177.95,181.45,176.5,178.2,178.85
TATAMOTORS,12/14/2020,181,181.5,176.7,177.9,177.65
TATAMOTORS,12/15/2020,176.45,179.7,173.25,178.9,178.9
TATAMOTORS,12/16/2020,181,183.8,180.1,182.25,182.55
TATAMOTORS,12/17/2020,184,184,180.65,181.3,181.7
TATAMOTORS,12/18/2020,180.9,181.5,176.65,180.4,180.55
TATAMOTORS,12/21/2020,176,177.55,162.5,163.5,164.55
TATAMOTORS,12/22/2020,164.55,169.2,156.7,165.05,164.95
TATAMOTORS,12/23/2020,165,169.7,163.4,169.5,169.2
TATAMOTORS,12/24/2020,172,178,172,175.8,175.95
TATAMOTORS,12/28/2020,179.85,187.4,179,186,186.35
TATAMOTORS,12/29/2020,187.9,188.45,181.1,183.5,183.45
TATAMOTORS,12/30/2020,183.1,185.4,180.4,184.85,184.15
TATAMOTORS,12/31/2020,184.85,187.5,182.8,183.5,183.85
TATAMOTORS,1/1/2021,184.95,187,184.5,186.55,186.5
TATAMOTORS,1/4/2021,191.8,193,188.75,191.15,191.3
TATAMOTORS,1/5/2021,187.1,193.9,185.05,193,193.2
TATAMOTORS,1/6/2021,194.45,197.6,190.65,194.9,195.4
TATAMOTORS,1/7/2021,197,200.35,195.1,196.5,196.75
TATAMOTORS,1/8/2021,198.75,201.5,197.1,197.85,198.15
TATAMOTORS,1/11/2021,199.9,225.4,199.65,223.2,220.65
TATAMOTORS,1/12/2021,227,252.4,224.1,237.25,237.8
TATAMOTORS,1/13/2021,242.9,248.8,238.4,242.85,242.6
TATAMOTORS,1/14/2021,242.85,249.8,238.6,245.25,245.1
TATAMOTORS,1/15/2021,246,264.65,242.6,261.6,260.3
TATAMOTORS,1/18/2021,261.65,262.45,241.15,244.5,245.95
TATAMOTORS,1/19/2021,251.5,261.7,251.3,258.75,258.65
TATAMOTORS,1/20/2021,260,277.5,258.85,274.4,274.9
TATAMOTORS,1/21/2021,281,299,280,292.45,290.6
TATAMOTORS,1/22/2021,295.95,306.9,278.35,290.85,289.35
TATAMOTORS,1/25/2021,296.9,299.5,277.35,278.7,279.15
TATAMOTORS,1/27/2021,274.9,275,265.7,266.75,267.5
TATAMOTORS,1/28/2021,260.05,273.4,259.05,266,266.8
TATAMOTORS,1/29/2021,273,278.8,260.6,262.35,262.7
TATAMOTORS,2/1/2021,269.75,282,255.35,280.3,279.6
TATAMOTORS,2/2/2021,293.6,328.85,290.4,326.95,322
TATAMOTORS,2/3/2021,339.2,341.9,326.2,331.2,331
TATAMOTORS,2/4/2021,329,334.5,322.45,326.1,326.15
TATAMOTORS,2/5/2021,327.6,330,312.6,318.45,315.9
TATAMOTORS,2/8/2021,318.75,339.25,318,336.55,335.95
TATAMOTORS,2/9/2021,337,338.5,322.2,325.85,325.05
TATAMOTORS,2/10/2021,326,332.65,319.5,328.55,328.9
TATAMOTORS,2/11/2021,326.45,331.35,323.4,324.9,325
TATAMOTORS,2/12/2021,326.4,330.5,321.25,324.55,325.4
TATAMOTORS,2/15/2021,329.9,335.8,324,331.9,333.35
TATAMOTORS,2/16/2021,335.45,337.9,327.5,329,329.2
TATAMOTORS,2/17/2021,326.9,334.25,325.45,329.7,330.15
TATAMOTORS,2/18/2021,331.5,331.75,321.1,323,323.85
TATAMOTORS,2/19/2021,321.95,321.95,301.4,312.45,311.85
TATAMOTORS,2/22/2021,312.45,313.9,302.15,302.6,304.5
TATAMOTORS,2/23/2021,308.5,328.9,308.5,324.6,324
TATAMOTORS,2/24/2021,325,330,316.5,321.2,321.65
TATAMOTORS,2/25/2021,325.35,334.7,323.25,333.6,333.15
TATAMOTORS,2/26/2021,323,332.95,318.85,321.9,322.95
TATAMOTORS,3/1/2021,330,331.85,322.7,327.7,328.3
TATAMOTORS,3/2/2021,331.1,347.2,326.45,345.25,345.75
TATAMOTORS,3/3/2021,348.65,357,346.5,347.1,348.5
TATAMOTORS,3/4/2021,339,345.4,337.3,340,339.2
TATAMOTORS,3/5/2021,333,337.85,319.7,326.45,325.15
TATAMOTORS,3/8/2021,331.75,331.75,318.8,321.35,321.25
TATAMOTORS,3/9/2021,325,328.35,309.6,315.15,315.2
TATAMOTORS,3/10/2021,319.5,324.45,316.7,321.75,321.45
TATAMOTORS,3/12/2021,325.05,326.5,314.15,317.45,317.55
TATAMOTORS,3/15/2021,320,320.4,310.05,318.2,318.55
TATAMOTORS,3/16/2021,321,321.9,315.1,319,319.95
TATAMOTORS,3/17/2021,318.6,320,304,305.5,305.8
TATAMOTORS,3/18/2021,311,316.6,299.75,308,307
TATAMOTORS,3/19/2021,303.5,311,290.2,308.2,308.95
TATAMOTORS,3/22/2021,306.45,307.5,300.1,302.85,303.05
TATAMOTORS,3/23/2021,305,312.25,304,306.9,307.4
TATAMOTORS,3/24/2021,303.55,305,293.2,294.75,294.45
TATAMOTORS,3/25/2021,294,294,282.25,286,285.55
TATAMOTORS,3/26/2021,290.5,301.4,290.5,296.75,296.4
TATAMOTORS,3/30/2021,300.5,301.3,292.7,297.05,297.05
TATAMOTORS,3/31/2021,299,307.5,297.5,301.45,301.8
TATAMOTORS,4/1/2021,306.75,309.85,303.05,307.25,307.75
TATAMOTORS,4/5/2021,306.8,311.7,297.2,305.5,305.05
TATAMOTORS,4/6/2021,306.15,313.8,304.8,308,307.75
TATAMOTORS,4/7/2021,306.75,310.65,305.1,307.65,307.8
TATAMOTORS,4/8/2021,307.9,319.8,307.5,314,313.95
TATAMOTORS,4/9/2021,313.2,325,312.5,317.55,318.2
TATAMOTORS,4/12/2021,307.85,307.85,282.9,287.5,286.55
TATAMOTORS,4/13/2021,287.25,304.55,280.55,302,302.85
TATAMOTORS,4/15/2021,303,307.55,296.5,302.2,303.5
TATAMOTORS,4/16/2021,302,315,300.15,308.75,310
TATAMOTORS,4/19/2021,295,304.5,292.8,301.7,301.4
TATAMOTORS,4/20/2021,307.7,308.15,294.2,297.4,298.05
TATAMOTORS,4/22/2021,294,302.5,292.2,294.5,294.55
TATAMOTORS,4/23/2021,291,300,290.5,293.2,294
TATAMOTORS,4/26/2021,297,299,294.6,295.85,295.4
TATAMOTORS,4/27/2021,295.7,302.5,295.1,302.1,301.5
TATAMOTORS,4/28/2021,303.5,309.5,303,305.15,305.9
TATAMOTORS,4/29/2021,308.9,310,301.25,302.2,301.9
TATAMOTORS,4/30/2021,298.2,301.3,292.55,293.1,293.85
TATAMOTORS,5/3/2021,289.3,294.75,285,293.1,293
TATAMOTORS,5/4/2021,296.35,299.75,288.05,289.95,289.45
TATAMOTORS,5/5/2021,293.5,293.9,288.5,292.25,291.5
TATAMOTORS,5/6/2021,291.5,302,290.3,301.05,301.25
TATAMOTORS,5/7/2021,303,305.95,300.5,301.45,302.75
TATAMOTORS,5/10/2021,304.5,315.7,304,314.35,314.85
TATAMOTORS,5/11/2021,309.55,320.75,308.1,314.45,315.55
TATAMOTORS,5/12/2021,318.25,334.75,316.25,325.55,326
TATAMOTORS,5/14/2021,329.35,329.5,310,312.6,312.25
TATAMOTORS,5/17/2021,315.4,323.85,311.4,321.75,321.1
TATAMOTORS,5/18/2021,325.95,336.65,324,332,332.45
TATAMOTORS,5/19/2021,313,322.95,312.1,314.1,314.45
TATAMOTORS,5/20/2021,316,316.6,306.1,308,307.7
TATAMOTORS,5/21/2021,312,315.7,309.5,312.4,313.1
TATAMOTORS,5/24/2021,314.75,315.8,310.2,311.8,311.85
TATAMOTORS,5/25/2021,315.55,319,313.85,314.9,315.25
TATAMOTORS,5/26/2021,316.1,320,314.8,315.15,315.5
TATAMOTORS,5/27/2021,317.05,323.45,316.55,319,318.6
TATAMOTORS,5/28/2021,322.65,324.5,316.5,319.8,318.75
TATAMOTORS,5/31/2021,318.7,319.75,312.1,318.9,318.75
TATAMOTORS,6/1/2021,319.2,325.7,317.3,318.3,318.1
TATAMOTORS,6/2/2021,315.95,324.4,315.6,322.9,323
TATAMOTORS,6/3/2021,325.3,327.7,323.65,324.95,325.65
TATAMOTORS,6/4/2021,325.15,336.9,324.25,336.8,334.95
TATAMOTORS,6/7/2021,339.75,351,339.75,344.35,345.5
TATAMOTORS,6/8/2021,346.25,356.65,337.5,356.5,352.75
